entrez,GSM304508,GSM304509,GSM304510,GSM304511,GSM304512,GSM304513,GSM304514,GSM304515,GSM304516,GSM304517,GSM304518,GSM304519
LINS1,0.029790014,-0.075723861,-0.013072104,-0.082918928,0.049909371,-0.266703325,-0.240423119,-0.122936961,-0.607003115,-0.292808233,-0.167688521,-0.233985015
LEMD3,0.297117651,-0.072281996,0.114718263,-0.346041053,0.288257935,-0.289887741,0.158199789,-0.111055628,-0.241342044,-0.278331081,-0.055980814,-0.106041182
CTNNBIP1,0.316121198,-0.102276605,0.14959558,-0.27066267,0.247929433,-0.190033067,0.246337828,-0.163049469,-0.062859693,-0.180838984,0.328968107,-0.071506124
ATP1B4,0.226631652,0.257191127,0.062966044,0.135113384,0.140882339,0.114327663,0.283367343,0.150162715,-0.045803599,0.037856808,0.486923343,0.146217384
AXL,0.35386427,0.078908017,0.391314515,0.225680947,0.275586917,-0.07697117,0.144153653,-0.083254703,-0.236895377,-0.213941416,-0.024962062,-0.022466822
IDE,0.167807716,0.008164188,0.147217093,0.140639206,0.012947883,-0.053808837,0.011669683,-0.123316792,-0.296303467,-0.139141316,0.005746118,-0.068349741
CYP8B1,0.140841596,0.110600591,0.05538069,-0.061304161,0.115848149,-0.115792221,0.133504203,-0.084577079,-0.074673776,-0.091912014,0.173895123,-0.198179562
C9orf150,0.033190254,0.182335626,0.101124773,0.0551635,-0.022793403,-0.170833118,-0.264036889,-0.013871522,-0.434325374,-0.148391895,-0.10152828,-0.186178697
HISPPD1,0.246714211,-0.045721762,0.216425349,-0.058505806,0.241127352,-0.203318853,0.024081749,-0.162518093,-0.253253923,-0.109147489,-0.549977109,-0.189044099
HSD17B4,0.029957237,-0.064817079,-0.086836685,-0.150467531,0.217833376,-0.183416645,0.061949662,-0.089822125,-0.140607648,0.010524492,0.049571576,-0.043466883
ATXN2L,0.256311318,0.09476962,0.046145881,-0.05788309,0.256508492,0.017992909,-0.080592283,0.146085724,-0.642671222,-0.203213342,-0.063324703,-0.38912592
GTF2A2,0.237848638,-0.053186548,0.109341462,-0.008778275,0.184376665,-0.193176777,-0.092082678,-0.428805393,-0.133210179,-0.095716134,0.243128343,-0.288950678
UCHL5,0.27089084,0.023524428,0.433997513,0.191457286,0.249614231,-0.044321342,-0.061806329,-0.209690267,-0.294527284,-0.129241271,0.054954451,-0.229725013
MGC5509,0.185723575,0.053004028,-0.367519278,-0.237077829,0.287069122,0.117649065,-0.428521009,-0.357226227,-0.733386242,-0.180057121,-0.356816781,-0.277890705
ETV7,0.257197807,0.031299418,-0.119953312,0.105300674,0.565375133,-0.021950043,-0.140553509,-0.184430163,-0.161142911,-0.135597097,0.082126098,-0.279809876
GABRB3,-0.416406169,0.52213762,-0.625095026,0.197462742,0.151623096,0.224683253,-0.249142837,-0.059474396,-0.272478181,0.327093898,-0.14548731,0.01390552
GSH2,-0.147113923,0.241891896,-0.236213731,0.180999237,0.048623669,-0.050686163,-0.473444969,0.053652983,-0.305849218,0.099613899,-0.079376739,-0.084025894
IL1F9,0.255544155,-0.186954534,0.334606075,-0.072165507,0.32364109,-0.311042663,0.193939579,-0.228747686,-0.021384243,-0.197120569,0.215286708,-0.249031688
PPP1R12B,-0.07156217,-0.083537481,0.095996581,0.163414674,-0.009269254,-0.208413157,-0.199296481,-0.176768151,-0.44925554,-0.078550985,-0.449438966,-0.330786659
FARSLB,-0.042981495,-0.062194132,0.209673996,0.143670717,0.006431356,-0.027715874,-0.083056717,-0.037249173,-0.348887775,0.034526133,-0.037609744,-0.093655375
SFRS12,0.236822891,-0.067376786,0.388584732,0.074328297,0.285491079,-0.273955429,0.073141794,-0.25553034,-0.301673188,-0.17046346,-0.086656776,-0.30103501
CD300LG,0.222126004,-0.015844987,0.084193888,-0.042807984,0.268841347,-0.110500989,0.071153932,-0.158168127,-0.086143441,-0.028675888,0.179512459,-0.176916002
KIAA1468,0.109481161,0.041464318,0.090896312,-0.016412678,0.094548045,-0.158515085,-0.072394121,-0.066214586,-0.225352251,-0.005365996,-0.117591034,-0.056590485
EXOC7,0.209070416,-0.075713524,-0.015388792,-0.010351847,0.217473218,0.064095309,-0.107796519,-0.21706072,-0.198242446,-0.040922328,-0.077966017,-0.212706081
PEX6,0.077526782,0.017206343,0.002005481,-0.087350096,0.186850555,-0.172377249,0.07591029,-0.049422594,-0.079985877,0.087609454,-0.005451862,-0.05448249
SNCA,0.165447168,-0.284381866,-0.176028832,-0.592949585,0.240596939,-0.200023971,0.126501901,-0.261197784,0.258818254,0.171926414,0.249951489,-0.345270022
YIPF1,-0.03054549,0.010508316,0.085034577,0.037960273,0.147978711,-0.038166901,-0.09481988,-0.057303233,-0.090835807,0.127403684,0.009786897,0.005689712
SUFU,0.373212125,-0.151801329,0.211784438,-0.040230328,0.338246073,-0.240071995,0.150334717,-0.335412262,-0.152284143,-0.114429268,0.324798826,-0.223930156
CRYBA4,-0.404216661,0.624854166,-0.502783359,0.480408065,-0.449651962,0.512843666,-0.430150085,0.328690014,-0.348726302,0.257062508,-0.162849096,0.341961703
