NAME	Description	GSM320249/GSM320243	GSM320250/GSM320244	GSM320251/GSM320245	GSM320252/GSM320246	GSM320253/GSM320247
1552390_a_at	NA	3.866935922	5.449832583	3.594461367	7.222081032	3.601047673
1552391_at	NA	3.598489551	6.873433201	6.985013846	0.387049883	0.793648781
1552393_at	NA	0.422429773	1.15300745	1.109569378	18.02592353	2.478421003
1552394_a_at	NA	10.24528672	1.203192407	30.68917346	0.494883457	1.817295541
1552395_at	NA	4.398656489	1.410264591	0.969617006	1.776752819	1.214774557
1552396_at	NA	13.77220868	7.635711407	3.799266802	0.714294677	6.032431817
1552398_a_at	NA	1.500726091	0.551556511	4.113135187	5.894101877	1.02351771
1552399_a_at	NA	1.768267841	0.405673905	3.435440279	0.05177231	0.081855596
1552400_a_at	NA	2.166160587	0.52070182	0.534827067	0.841893632	1.113969217
1552401_a_at	NA	2.070740219	0.616469304	0.684768833	0.224924085	2.849247349
1552402_at	NA	7.776846468	5.88644382	0.633461155	3.029280254	2.465137355
1552405_at	NA	0.454299669	0.847949233	0.964568315	1.909699637	1.57373256
1552408_at	NA	1.704804016	0.24467049	2.300185513	0.657998844	0.612740095
1552409_a_at	NA	2.459819782	0.604777279	0.933147441	0.49339434	1.087577318
1552410_at	NA	3.896834661	2.037083708	1.975515174	2.529866639	2.268850979
1552411_at	NA	2.4275838	0.69069059	1.400318321	0.942124643	2.054079386
1552412_a_at	NA	9.569965149	1.035023167	1.744033919	4.276868522	3.03544122
1552414_at	NA	3.629162222	1.417860738	2.168934523	1.712020238	0.965193235
1552415_a_at	NA	1.435441155	14.0904888	1.242692126	6.923342703	0.256359859
1552417_a_at	NA	2.347709258	1.696966816	1.292680492	1.640960787	1.557303642
1552418_at	NA	1.325071541	0.975096117	1.591110887	0.200344776	0.819949312
1552419_s_at	NA	0.694565548	1.138662638	0.398844252	0.920528062	1.027074125
1552421_a_at	NA	10.12275366	1.011830877	1.466052136	16.56850829	3.174526433
1552422_at	NA	1.2029745	0.66144896	0.901635555	7.350764159	3.451794361
1552423_at	NA	1.003410894	0.40455571	0.651843634	1.375843294	0.705697854
1552424_at	NA	1.353671303	1.078273592	5.970865083	1.097404144	6.291208791
1552425_a_at	NA	3.244125326	1.578115193	2.287445676	3.990922792	1.875485379
1552426_a_at	NA	0.43444349	0.637069091	0.584855906	0.450333198	0.571344379
1552427_at	NA	1.119311466	0.636559359	0.625802669	0.678123719	0.621933752
1552430_at	NA	2.668426552	2.34345172	3.512610859	2.681344424	2.327391214
1552432_at	NA	2.38545405	0.838203931	0.841170783	1.556785774	1.956399657
1552436_a_at	NA	0.8186424	0.75495913	3.647416413	3.955628896	1.335735025
1552438_a_at	NA	2.113022411	1.227515779	1.943573315	1.140982218	1.264569958
1552439_s_at	NA	0.274207418	0.280772325	0.559808612	3.236751911	3.464642857
1552440_at	NA	1.51895613	0.73303912	2.930202331	1.510816321	1.331774407
1552445_a_at	NA	0.969945395	8.805159661	3.915146964	1.094221976	3.254104743
1552448_a_at	NA	2.052032654	1.888583918	0.309596787	0.981301939	1.209821429
1552449_a_at	NA	2.756325418	2.233353696	1.611870504	1.516295913	4.588062883
1552450_a_at	NA	2.75004008	0.31718167	6.922430614	12.59125892	1.38025502
1552452_at	NA	8.20345862	0.211982636	3.20934642	2.271306818	0.896019707
1552453_a_at	NA	2.239801544	1.003240279	3.808874802	3.531934307	2.438274336
1552455_at	NA	2.199464635	7.817847863	1.30474742	9.096971148	0.754931685
1552456_a_at	NA	4.391804402	1.569168121	0.614629971	2.472546476	1.324230537
1552457_a_at	NA	1.357230715	1.760102866	1.089188052	6.137096774	0.317872937
1552458_at	NA	1.056318244	4.302793684	0.614001383	0.802948966	13.99142634
1552459_a_at	NA	1.57789274	5.429280245	3.32247415	3.780444179	1.788502789
1552461_at	NA	28.86856042	0.983088505	0.938331285	6.077997251	1.803901783
1552463_at	NA	1.218785849	1.282492808	0.829479437	0.62619324	1.770215822
1552466_x_at	NA	1.257607678	0.039706265	0.119433679	0.603785489	1.155042918
1552467_at	NA	4.189799965	1.384042801	2.407540007	2.165993556	1.823958333
