Names	total	elements
		"BTRC"
		"BTNL9"
		"TLX3"
		"OTOF"
		"LOC100506679"
		"PER3"
		"KCNJ12"
		"MARCH10"
		"PTGER3"
		"ASB4"
		"IGLV3-19"
		"CLIC1P1"
		"CDKN2B"
		"GLP1R"
		"CADPS"
		"BANK1"
		"PSMD5-AS1"
		"PDE1C"
		"SOCS1"
		"NCR1"
		"LTC4S"
		"MCMDC2"
		"DDX58"
		"PLCZ1"
		"LAMA3"
		"IGHG4"
		"OBSL1"
		"SLC38A10"
		"DUX4L5"
		"LOC100506639"
		"IGHD"
		"PRAMEF10"
		"OR51E2"
		"FAM160B2"
		"LOC101927826"
		"IGHG3"
		"ACTN2"
		"EPHA5"
		"RP11-804F13.1"
		"SLC6A19"
		"MCM4"
		"PDE5A"
		"CACNA1C"
		"IGHM"
		"SEZ6L"
		"RP11-731J8.2"
		"ZNF154"
		"GRIN3B"
		"NFE4"
		"CD52"
		"RFFL"
		"ADCY1"
		"BC036261"
		"TRPM3"
		"RFPL1S"
		"MUC7"
		"VWA1"
		"MIR7-3HG"
		"TRPC3"
		"B4GALT3"
		"RP11-219B4.3"
		"DNAH11"
		"SERPINC1"
		"ALB"
		"IL17RD"
		"DUX4L8"
		"AGTR2"
		"LOC100506403"
GSE50911	1752	"SERPINB3"
		"EIF5B"
		"PYCARD"
		"ZBTB7B"
		"CPNE3"
		"RFWD2"
		"MAP3K6"
		"LRRFIP1"
		"HECTD1"
		"KLF15"
		"TNFRSF18"
		"ITGA7"
		"TMC3"
		"ZNF323"
		"KRT2"
		"PITPNC1"
		"EIF5A2"
		"MAPK1"
		"MUPCDH"
		"APRT"
		"CBLL1"
		"OCLN"
		"AANAT"
		"LSDP5"
		"ABCF2"
		"ADIPOQ"
		"MRGPRX3"
		"ZKSCAN4"
		"GSDMB"
		"LOC100128588"
		"SLCO6A1"
		"RASA4"
		"LOC220594"
		"GPR174"
		"CETN1"
		"NCAPD2"
		"C10orf91"
		"DYSF"
		"WDR42A"
		"NF1"
		"LOC100131150"
		"UNQ1887"
		"CYorf14"
		"TPRXL"
		"C14orf50"
		"CRKL"
		"PKNOX2"
		"CXorf18"
		"KIAA1033"
		"FAM63B"
		"FAM57A"
		"GPR78"
		"NCOA7"
		"TIE1"
		"SLC35B2"
		"RAD51AP1"
		"MED14"
		"LGR6"
		"COG2"
		"UPK2"
		"CHRAC1"
		"CENPO"
		"RBAK"
		"RNMTL1"
		"ELAVL2"
		"ALKBH5"
		"ST5"
		"CLTCL1"
		"C15orf40"
		"MLLT6"
		"MCART2"
		"AGT"
		"TMCC3"
		"IL1R1"
		"POLG"
		"CBX1"
		"ERBB2IP"
		"ERLIN1"
		"ELMO3"
		"GLI3"
		"DCLRE1C"
		"RBMX2"
		"HYAL1"
		"STXBP5L"
		"RHOXF1"
		"TCP10L"
		"NFYC"
		"CCDC25"
		"RPL17"
		"SPG21"
		"FAIM2"
		"PYGM"
		"ADAMTS14"
		"KEL"
		"C8orf68"
		"LPHN1"
		"SSPN"
		"C17orf28"
		"C2orf60"
		"VPS54"
		"SMARCE1"
		"LOC388965"
		"FLJ32065"
		"GPKOW"
		"PPAPDC1A"
		"BIRC5"
		"ALDH1L1"
		"NTN4"
		"ELAC2"
		"FAM120A"
		"EVC"
		"MMAB"
		"ADD3"
		"SLC12A1"
		"PTGS2"
		"KBTBD2"
		"PLAT"
		"PLEKHG2"
		"TDRD7"
		"SETD1A"
		"HEATR1"
		"ALG13"
		"XAF1"
		"ZNF416"
		"PTAR1"
		"SFRP1"
		"RBMS3"
		"LRFN3"
		"TSR1"
		"MRPS15"
		"SARM1"
		"RAB5B"
		"TYRO3"
		"LOC100129385"
		"ITPA"
		"NDUFC2"
		"FAM45B"
		"LRP2BP"
		"ADAMTSL4"
		"NKD2"
		"NUPL2"
		"PLEC1"
		"KRT79"
		"PIK3R1"
		"CALCOCO2"
		"SCML2"
		"EDEM1"
		"KRT24"
		"BATF"
		"GTSF1L"
		"LSM11"
		"DYNLRB2"
		"LOC100190938"
		"ZNF480"
		"MGC26356"
		"TRPV1"
		"HN1"
		"SSB"
		"IBSP"
		"CD2AP"
		"DDX3Y"
		"TMED9"
		"FAM175A"
		"C10orf82"
		"C6orf114"
		"UCHL5"
		"CRIP1"
		"SELV"
		"PSORS1C1"
		"MED25"
		"DNAJC25"
		"EIF4B"
		"SFXN4"
		"CABLES1"
		"RUNDC2B"
		"LOC100128701"
		"PRKD3"
		"MARCH2"
		"POMZP3"
		"FLJ20323"
		"AHSA2"
		"SGCG"
		"NXN"
		"APLNR"
		"TLR3"
		"RFX3"
		"FLJ20674"
		"DLL3"
		"PPP1R2"
		"LOC338809"
		"RHOF"
		"PCBP4"
		"LOC79999"
		"INCENP"
		"SLC2A9"
		"OXA1L"
		"LOC100129775"
		"SEC14L1"
		"LOC100190939"
		"PTPN2"
		"KIF7"
		"CCDC47"
		"SH3BP2"
		"FTSJD1"
		"MSTP9"
		"LOC400099"
		"HEATR7A"
		"TXNL4A"
		"SLC5A6"
		"PVR"
		"INTU"
		"HTR3E"
		"PSPN"
		"PRKAR1A"
		"STAU2"
		"BAIAP3"
		"KIAA1107"
		"GNB1"
		"CD47"
		"CCDC127"
		"AOAH"
		"DCTN2"
		"FAM118A"
		"GNPNAT1"
		"HCFC2"
		"LARP2"
		"ATP6V0D2"
		"C12orf47"
		"DNAJC5"
		"LOC100128003"
		"TNFSF10"
		"MOGAT2"
		"RRN3"
		"C6orf155"
		"LDLR"
		"FCER1A"
		"ALDH1A2"
		"ANKRD39"
		"NOLC1"
		"RPP30"
		"RAB2A"
		"UNC84A"
		"C9orf4"
		"MMP3"
		"TRPC2"
		"BUB1"
		"PQLC2"
		"EPS8L1"
		"WHSC1L1"
		"LOC441208"
		"ADAM7"
		"ABL1"
		"LOC338799"
		"TBC1D12"
		"PPP1CC"
		"ADAMTS7"
		"SOX2OT"
		"COL5A2"
		"AP3S1"
		"CSH2"
		"LOC100132673"
		"KATNA1"
		"ING2"
		"SLC37A2"
		"FAM164A"
		"GUSBL1"
		"TP53"
		"GNPDA1"
		"CCDC148"
		"PARP11"
		"SEPN1"
		"TTC39B"
		"LOC642826"
		"FBXW4P1"
		"C20orf3"
		"PRKCD"
		"TM9SF2"
		"TCTN1"
		"ACTR1A"
		"HLA-DQA2"
		"CCDC9"
		"HMGB1"
		"CNP"
		"IRAK1BP1"
